X,Y,PC,PQ,EA,NO,CY,RH,LH,CC,DC,WC
-1.41731972586325,50.9265205935594,SO155RL,10,441049,114287,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43029317564345,50.9209552214108,SO155RP,10,440142,113661,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.41906173037715,50.912320898626,SO155RQ,10,440939,112707,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41478131914825,50.9099614324166,SO155RR,10,441242,112447,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.42190057643105,50.9151047249148,SO155RS,10,440737,113015,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41505468235708,50.9142522984659,SO155RT,10,441219,112924,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.42154164025525,50.9234031553012,SO155RU,10,440755,113938,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.41482782099106,50.9096559151097,SO155RW,10,441239,112413,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.43778061784122,50.925343945465,SO155RX,10,439612,114145,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.41510824169544,50.9111141306586,SO155RY,10,441218,112575,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.41621237389504,50.9092671691185,SO155RZ,10,441142,112369,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41935606121324,50.9126730761442,SO155SA,10,440918,112746,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42912909362777,50.926560938506,SO155SD,10,440219,114285,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43639207015352,50.9260386766653,SO155SE,10,439709,114223,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43663763483051,50.9257341123415,SO155SF,10,439692,114189,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43757915515153,50.9255318204731,SO155SG,10,439626,114166,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43733837043317,50.9254407342372,SO155SH,10,439643,114156,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43617638246756,50.9250484464525,SO155SJ,10,439725,114113,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42247400407934,50.9147478566784,SO155SL,10,440697,112975,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41504918573729,50.9101516205327,SO155SN,10,441223,112468,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.41699938645669,50.9134436934749,SO155SP,10,441083,112833,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41631270378491,50.9137550055836,SO155SR,10,441131,112868,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41693525520964,50.9094686197734,SO155SS,10,441091,112391,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.43247341013446,50.9241762083058,SO155SY,10,439986,114018,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42712739525703,50.918080073427,SO155TA,10,440367,113343,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42327345229747,50.9156690581571,SO155TE,10,440640,113077,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41561275805277,50.9162604537871,SO155TU,10,441178,113147,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41561275805277,50.9162604537871,SO155TW,10,441178,113147,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41561275805277,50.9162604537871,SO155TX,10,441178,113147,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41561275805277,50.9162604537871,SO155TY,10,441178,113147,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41686705514323,50.9228943021618,SO155UQ,10,441084,113884,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43079858949248,50.9191771440498,SO155UZ,10,440108,113463,E92000001,E19000002,E18000009,,E06000045,E05002463
-1.4153244339018,50.9120234716327,SO155WA,10,441202,112676,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.41457284777863,50.9118398525363,SO155WB,10,441255,112656,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.41486114887754,50.9115355474324,SO155WD,10,441235,112622,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.4153917210841,50.9123295588012,SO155WE,10,441197,112710,E92000001,E19000002,E18000009,,E06000045,E05002455
-1.42633507717315,50.9281389409041,SO155XE,10,440414,114462,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43079858949248,50.9191771440498,SO155ZL,10,440108,113463,E92000001,E19000002,E18000009,,E06000045,E05002463
